,20_categories of 2 act_relu,20_categories of 2 baseline,20_categories of 2 bn_no,20_categories of 2 dropout_025,20_categories of 2 dropout_075,20_categories of 2 dropout_0,20_categories of 2 ds_11_31,20_categories of 2 filters_128,20_categories of 2 filters_32,20_categories of 2 filter_3_3,20_categories of 2 filter_7_3,20_categories of 2 layers_2,20_categories of 2 layers_4,20_categories of 2 maxpool_2_2,20_categories of 3 Three_cates,60_categories of 2 baseline
2010-04-30,2.530307225712165,2.522295149642451,3.73714555944256,2.7276563228941995,6.955715710375883,3.17498026636398,2.596342787865609,3.884031210189319,4.499729041199936,4.405966708407273,4.173652304388396,3.197009039658292,3.0212015092238067,4.325959087845225,2.355849166732074,
2010-05-28,2.4826285428735977,2.4746072372026218,3.702542201790149,2.680803154339358,6.731103233905584,3.1298500508352465,2.5746721385912155,3.820342401177084,4.436104612867134,4.329396928245579,4.131933067773542,3.136043247139404,2.969088827306265,4.271658276786815,2.315708255892655,2.2602593579861514
2010-06-30,2.6508625789738485,2.6408694612784727,3.989873264005415,2.860614049126805,7.294419290192279,3.3543156983785685,2.765835710288615,4.113220167294193,4.804865864212664,4.670602348758714,4.451991947759469,3.3753246605838023,3.164444236149052,4.620951428553189,2.463723061638815,
2010-07-30,2.5565408788037307,2.545196771929874,3.889896665030197,2.757235805509401,7.019890716120209,3.242675204900066,2.679666799324869,3.99539457926948,4.731689508519293,4.498711354225616,4.312880505436787,3.280024800482898,3.079619442230313,4.478948649428058,2.372321810169851,2.4566711866407704
2010-08-31,2.8316102283743274,2.817596185784541,4.308294325468784,3.045913812574199,7.81657913593636,3.5969409012102678,2.973660808594753,4.442318712262551,5.243344315536103,5.018924175850119,4.789092699994895,3.645149963841504,3.398074888111853,4.990848094237866,2.613886756101485,
2010-09-30,2.941256281728384,2.925899185917927,4.495818759213861,3.168592685632478,7.970609271435909,3.736684676073771,3.0843739622750856,4.618945035186727,5.373258765629204,5.269071497354499,5.008056829561212,3.79386367497028,3.5330717611574007,5.222451361165601,2.713491872846945,2.799845760795705
2010-10-29,3.0151885306010358,2.993765208738693,4.590982991519557,3.2452738379904456,8.110832112303855,3.8288603321710544,3.1683275626076486,4.73043056895938,5.401746122614782,5.358296726521306,5.124760157229932,3.8780923174050255,3.614509978207865,5.360619635203291,2.7774482617216845,
2010-11-30,3.241499586614198,3.2177109447370453,4.957406027503367,3.501035849776442,8.625985761477155,4.118132938435647,3.398246219782952,5.132428651492723,5.671173529791794,5.796590727363033,5.541070311158922,4.173654197081301,3.842651279395372,5.792222991349584,2.9731673209079275,3.147766170032669
2010-12-31,3.264107693908997,3.2408531241723235,4.997376527614105,3.534504068615436,8.864530627951684,4.149074628010555,3.456841280790046,5.18556528957977,5.826035893702692,5.901240265744041,5.622692737412671,4.236118540251587,3.900148073724694,5.826375606035074,3.0052043676899496,
2011-01-31,3.34569034074796,3.3252934358495683,5.12573905890341,3.6277524514598,8.98950283707478,4.253974993671638,3.546059764017268,5.309447757004034,5.957233980936612,6.030491017401538,5.759952365408119,4.3392583582836775,3.9798012343920304,5.976311075068893,3.0835626683293573,3.364499515321594
